question,option_A,option_B,option_C,option_D,answer,explanation,subjects
"A subject requests access to their study data. Under HIPAA, you should:",Provide all source documents unredacted.,Offer access to their PHI while ensuring confidentiality of others.,Decline because data belongs to sponsor.,Provide summary only without identifiers.,B,"HIPAA gives individuals the right to access their own PHI, with others’ information redacted.",Ethical and Participant Safety Considerations
An LAR consents but the subject verbally refuses enrollment. The CRC should:,Enroll based on LAR consent.,Prioritize the subject’s assent and not enroll.,Ask LAR to override subject refusal.,Proceed if IRB approves.,B,Respect for persons requires honoring the subject’s dissent even if LAR consented.,Ethical and Participant Safety Considerations
A new risk discovered during a study must be:,Documented in the protocol only.,Reported to IRB and updated in consent form.,Communicated to sponsor only.,Discussed at study end.,B,New risks require IRB notification and amendment of consent materials.,Ethical and Participant Safety Considerations
Compensation is increased mid-study. The CRC must:,Implement without IRB approval.,Seek IRB approval for amendment.,Notify subjects verbally only.,Adjust payments retrospectively.,B,"Changes affecting voluntariness, like compensation, need IRB approval before implementation.",Ethical and Participant Safety Considerations
Which regulation establishes the Common Rule?,21 CFR Part 11,45 CFR Part 46,21 CFR Part 50,21 CFR Part 312,B,"45 CFR Part 46, Subpart A outlines the Common Rule for human subject protection.",Clinical Research Standards and Guidelines
"During a consent discussion, a potential subject asks about possible future uses of their biosamples. What is the best response?",We will only use your samples for this specific study.,We may deidentify your samples for future unrelated research with broad consent.,Your samples will be discarded after completion.,You cannot withdraw samples once given.,B,Broad consent allows use of deidentified samples in future research.,Ethical and Participant Safety Considerations
A study meets the criteria for expedited review. Which change to the protocol also qualifies?,Increasing dose beyond approved limits.,Minor blood draw volume increase for safety monitoring.,Adding a new experimental arm.,Including vulnerable prison population.,B,Minor risk changes may qualify for expedited IRB review.,Clinical Research Standards and Guidelines
A monitor identifies that IP temperature logs were not reviewed for a week. What should the CRA do?,Ignore if no excursion noted.,Document deviation and retrain pharmacy staff immediately.,Destroy all IP stock.,Adjust logs retroactively.,B,Lapses in monitoring IP storage require documentation and corrective training.,Clinical Trial Operations (GCPs)
A coordinator realizes the IRB approval letter expired two weeks ago. What is the required action?,Continue enrolling and apply for extension later.,Halt all research activities until renewal is obtained.,Notify FDA directly.,Ignore since minimal risk.,B,Research must stop when IRB approval lapses until renewed.,Study and Site Management
An interim analysis shows efficacy early. What is the appropriate procedure?,Unblind all data and publish results.,Refer to DSMB to consider stopping rules.,Continue without change.,Notify participants.,B,DSMB reviews interim data against stopping criteria.,Research Design and Data Management
A subject requests to withdraw but permits continued data use. How should the CRC proceed?,Continue collecting data without new consent.,Stop interventions but retain existing data per consent.,Erase all data collected.,Force continued participation.,B,Honor withdrawal of interventions but existing data may be retained if consented.,Ethical and Participant Safety Considerations
Which document outlines responsibilities of sponsor and investigator?,Protocol synopsis,Investigator’s Brochure,Form FDA 1572,Consent form,C,Form 1572 details investigator commitments to sponsor.,Clinical Research Standards and Guidelines
"During dose administration, site staff use wrong diluent. What is correct?","Discard dose, document deviation, notify sponsor.",Ignore if no immediate reaction.,Proceed with next dose normally.,Change diluent label only.,A,"Medication errors require discarding dose, documentation, and notification.",Clinical Trial Operations (GCPs)
A staff member received GCP training but not protocol-specific training. What must happen?,Allow them to begin visits.,Provide protocol training and document before tasks.,Replace with another staff.,Proceed under supervision indefinitely.,B,Staff need protocol training documented before performance of study tasks.,Study and Site Management
Which statistic measures variability around the mean?,Mean,Standard deviation,P-value,Hazard ratio,B,Standard deviation quantifies data dispersion around the mean.,Research Design and Data Management
Staff rotation occurs mid-study. What must be updated immediately?,Billing logs,Delegation of duties log and training records,Patient schedules,No updates needed,B,Staff changes require updated delegation logs and documented training.,Study and Site Management
Site initiation cannot occur until:,First subject consented,IRB approval and all site staff trained,Sponsor payment,FDA notice,B,IRB approval and staff training completion are prerequisites for initiation.,Study and Site Management
"At study close-out, site must:",Destroy all documents,Return IP and regulatory binder to sponsor or archive per SOP,Sell IP supply,Continue enrollment,B,Close-out involves returning IP and archiving essential documents per SOP.,Study and Site Management
A monitor requests access to source documents off-site. The CRC should:,Fax unredacted charts,Provide secure redacted PDFs via sponsor portal,Mail originals,Deny request,B,Off-site source access must be secure and protect confidentiality.,Study and Site Management
Lost CRF pages are found. CRC must:,Discard them,Document in a note-to-file and re-enter into eCRF,Leave missing,Create new pages without note,B,Recovery of lost source requires documentation and data re-entry with note-to-file.,Study and Site Management
Which file is essential for a sponsor audit?,Subject financial statements,Regulatory binder with IRB approvals and consent forms,Marketing materials,Staff holiday schedules,B,Regulatory binder items are critical for sponsor audits.,Study and Site Management
"If a site moves offices, what must be done with study records?",Destroy all files,"Notify IRB, sponsor, and update record locations",Leave files behind,Store in personal home,B,Any change of record location requires notification and documentation.,Study and Site Management
"To improve subject retention, coordinators should:",Implement flexible scheduling and reminders,Charge fees for missed visits,Restrict visit times,Use a single communication method,A,Flexible scheduling and reminders help maintain participant engagement.,Study and Site Management
Variable block randomization is used to reduce:,Sample size,Allocation predictability,Blinding,Bias in data entry,B,Variable block sizes prevent predictability of group assignment.,Research Design and Data Management
A study’s power primarily depends on:,Effect size and sample size,Investigator expertise,Study location,Budget amount,A,"Statistical power is a function of effect size, sample size, and alpha level.",Research Design and Data Management
A subject expresses concern that their personal data may be published. What should the CRC explain?,Your data may be published with your name only.,Data will be coded and published without direct identifiers.,We will share full medical records anonymously.,All data is destroyed after the study.,B,Participant data is coded to protect privacy before publication.,Ethical and Participant Safety Considerations
A subject requests their raw study data after participation. How should the CRC respond?,Provide raw data immediately.,Decline due to confidentiality policies.,Offer a summary report without identifiers.,Send unredacted CRFs.,C,"Participants may receive summary results, not raw identifiable data.",Ethical and Participant Safety Considerations
"During consent, a subject has limited capacity. Who should provide consent?",The subject only.,Legally Authorized Representative (LAR).,Family member without LAR status.,Investigator.,B,LAR provides consent when subjects lack capacity.,Ethical and Participant Safety Considerations
An emergency waiver of consent is used. When must the IRB be notified?,Within 24 hours.,Within 5 working days.,At next continuing review.,No notification needed.,B,FDA and IRB must be notified within 5 working days of emergency use.,Ethical and Participant Safety Considerations
A minor agrees to participate but the parent refuses. Enrollment status?,Enroll the minor only.,Do not enroll; parental permission required.,Enroll parent as proxy subject.,Ask IRB to override.,B,Parental permission is required to enroll minors.,Ethical and Participant Safety Considerations
A participant asks if compensation affects voluntariness. What do you say?,Compensation should not unduly influence participation.,Compensation guarantees benefits.,Compensation must be high to ensure enrollment.,Compensation replaces treatment costs.,A,Compensation must not constitute undue influence.,Ethical and Participant Safety Considerations
A vulnerable population is involved. What extra safeguard is needed?,No extra safeguards.,Shorter consent forms.,Additional privacy and monitoring measures.,Increase compensation.,C,Vulnerable subjects require additional privacy and oversight safeguards.,Ethical and Participant Safety Considerations
A subject with impaired decision-making wants to withdraw. What must you do?,Prevent withdrawal to collect data.,Honor withdrawal and stop data collection.,Ask LAR for permission to continue.,Ignore request.,B,Subjects may withdraw at any time; data collection stops.,Ethical and Participant Safety Considerations
An IRB waives consent for minimal-risk research. What condition must be met?,Study must involve prisoners.,Research poses no more than minimal risk and could not practicably be carried out without waiver.,All subjects must be minors.,Compensation must be zero.,B,Consent waiver requires minimal risk and impracticability without waiver.,Ethical and Participant Safety Considerations
Genetic research results are returned to subjects. What consideration is essential?,No counseling needed.,Ensure genetic counseling availability.,Require subjects to share with family.,Results can be published instantly.,B,Genetic results should be provided with appropriate counseling.,Ethical and Participant Safety Considerations
A subject expresses confusion about the meaning of randomization and believes they will definitely receive the investigational drug. What should the CRC do?,Tell the subject they will receive the drug because they are in a research center.,Re-explain the randomization process and ask if they have any questions.,Refer the subject to call the sponsor directly.,Proceed without clarification to avoid delay.,B,"The CRC must ensure subjects understand randomization as part of informed consent, addressing any confusion.",Ethical and Participant Safety Considerations
"A prisoner expresses interest in a clinical trial. Under the Common Rule, what additional requirement must be met?",No additional requirement; proceed as usual.,Obtain a letter from prison warden only.,Ensure the IRB includes a prisoner representative.,Provide enhanced financial incentives.,C,Research involving prisoners requires an IRB with a prisoner representative to protect vulnerable subjects.,Ethical and Participant Safety Considerations
